fabricant;modele;annee;prix;puissance_cumul;couple_cumul;0_100_km_h;vitesse_max;position_moteur_1;puissance_moteur_1;type_moteur_1;couple_moteur_1;position_moteur_2;puissance_moteur_2;type_moteur_2;couple_moteur_2;position_moteur_3;puissance_moteur_3;type_moteur_3;couple_moteur_3;capacite_nominale_brute;capacite_utile_nette;prise_de_charge_AC;prise_de_charge_DC;vitesse_de_charge_AC;vitesse_de_charge_DC;refroidissement;;temps_de_charge_DC_0-80%;temps_de_charge_AC_0-80%_prise_dom;temps_de_charge_AC_0-80%_prise_dom_renforcee;temps_de_charge_AC_0-80%_wallbox;autonomie_electrique_mixte;conso_electrique;pompe_a_chaleur;;motricite;rapports;longueur;empattement;hauteur;largeur;coffre;poids;coffre_avant_arriere;;essieu_avant;essieu_arriere;base_chassis;plateforme;pneus;pneus_arriere
Volkswagen;ID4;2020;41500 €;149 ch;310 Nm;10.9 secondes;160 km/h;Arrière;149 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;55 kWh;52 kWh;Type 2;CCS Combo;7.2 kW;50 kW;110 kW;Liquide;69 min. à 50 kW;19h22 à 2.3 kW;14h51 à 3 kW;6h11 à 7.2 kW;342 km;16.9 kWh/100km;En option;;Propulsion;1;4.584 m;2.771 m;1.64 m;1.852 m;543 Litres;1968 kg;;;Macpherson;Multibras;Electrique;MEB;235/60 R 18;
Volkswagen;ID4;2020;43100 €;170 ch;310 Nm;9 secondes;160 km/h;Arrière;170 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;55 kWh;52 kWh;Type 2;CCS Combo;7.2 kW;50 kW;110 kW;Liquide;69 min. à 50 kW;19h22 à 2.3 kW;14h51 à 3 kW;6h11 à 7.2 kW;342 km;16.9 kWh/100km;En option;;Propulsion;1;4.584 m;2.771 m;1.64 m;1.852 m;543 Litres;1965 kg;;;Macpherson;Multibras;Electrique;MEB;235/60 R 18;
Volkswagen;ID4;2020;47800 €;174 ch;310 Nm;8.9 secondes;160 km/h;Arrière;174 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;135 kW;Liquide;;38 min. à 135 kW / 40 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;511 km;17.1 kWh/100km;En option;;Propulsion;1;4.584 m;2.771 m;1.64 m;1.852 m;543 Litres;2109 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Volkswagen;ID4;2020;49400 €;204 ch;310 Nm;8.5 secondes;180 km/h;Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;135 kW;Liquide;;38 min. à 135 kW / 40 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;511 km;17.1 kWh/100km;En option;;Propulsion;1;4.584 m;2.771 m;1.64 m;1.852 m;543 Litres;2109 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Volvo;XC40;2022;45800 €;231 ch;330 Nm;7.4 secondes;160 km/h;Avant;231 ch;Aimant permanent (synchrone);330 Nm;;;;;;;;;69 kWh;67 kWh;Type 2;CCS Combo;11 kW;150 kW;Liquide;;38 min. à 150 kW / 40 min. à 120 kW;24h18 à 2.3 kW;18h38 à 3 kW;5h05 à 11 kW;425 km;23.8 kWh/100km;Oui;;Traction;1;4.425 m;2.702 m;1.652 m;1.863 m;483 Litres;2030 kg;31/452 Litres;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";235/50 R 19;
Audi;Q4;2021;59700 €;265 ch;460 Nm;6.9 secondes;180 km/h;Avant;170 ch;A induction (asynchrone);"<i style=""color:#A5A5A5"">NC</i>";Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;125 kW;Liquide;;41 min. à 125 kW / 42 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;481 km;18.2 kWh/100km;En option;;4X4;1;4.588 m;2.764 m;1.632 m;1.865 m;535 Litres;2205 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Audi;Q4;2021;50700 €;204 ch;310 Nm;8.5 secondes;160 km/h;Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;125 kW;Liquide;;41 min. à 125 kW / 42 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;522 km;17.2 kWh/100km;En option;;Propulsion;1;4.588 m;2.764 m;1.614 m;1.865 m;535 Litres;1970 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
BMW;i4;2021;59700 €;340 ch;430 Nm;5.7 secondes;190 km/h;Arrière;340 ch;A excitation (synchrone);430 Nm;;;;;;;;;83.9 kWh;80.7 kWh;Type 2;CCS Combo;11 kW;205 kW;Liquide;;28 min. à 205 kW / 37 min. à 120 kW;29h35 à 2.3 kW;22h41 à 3 kW;6h11 à 11 kW;590 km;16.1 kWh/100km;Oui;;Propulsion;1;4.783 m;2.856 m;1.448 m;1.852 m;470 Litres;2050 kg;;;Macpherson;Multibras;Thermique;CLAR;225/55 R 17;
BMW;i4;2023;57500 €;286 ch;400 Nm;6 secondes;190 km/h;Arrière;286 ch;A excitation (synchrone);400 Nm;;;;;;;;;70.2 kWh;66 kWh;Type 2;CCS Combo;11 kW;185 kW;Liquide;;25 min. à 185 kW / 31 min. à 120 kW;24h39 à 2.3 kW;18h54 à 3 kW;5h09 à 11 kW;483 km;15.8 kWh/100km;Oui;;Propulsion;1;4.783 m;2.856 m;1.448 m;1.852 m;470 Litres;1990 kg;;;Macpherson;Multibras;Thermique;CLAR;225/55 R 17;
Fiat;E-Ulysse;2022;54900 €;136 ch;260 Nm;10.8 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;1;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;226 km;25.2 kWh/100km;Oui;;Traction;1;4.956 m;3.275 m;1.89 m;1.92 m;1556 Litres;1894 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/60 R 17;
Ford;Mustang;2020;56500 €;294 ch;430 Nm;7 secondes;180 km/h;Arrière;294 ch;Aimant permanent (synchrone);430 Nm;;;;;;;;;99 kWh;88 kWh;Type 2;CCS Combo;11 kW;150 kW;Liquide;;33 min. à 150 kW / 41 min. à 120 kW;34h52 à 2.3 kW;26h44 à 3 kW;7h17 à 11 kW;610 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;Propulsion;1;4.713 m;2.98 m;1.597 m;1.881 m;600 Litres;2085 kg;81/519 Litres;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";225/60 R 18;
Ford;Mustang;2020;56500 €;269 ch;580 Nm;6.3 secondes;180 km/h;Avant;"<i style=""color:#A5A5A5"">NC</i>";Aimant permanent (synchrone);"<i style=""color:#A5A5A5"">NC</i>";Arrière;"<i style=""color:#A5A5A5"">NC</i>";Aimant permanent (synchrone);"<i style=""color:#A5A5A5"">NC</i>";;;;;75.7 kWh;68 kWh;Type 2;CCS Combo;11 kW;115 kW;Liquide;;33 min. à 115 kW;26h46 à 2.3 kW;20h31 à 3 kW;5h36 à 11 kW;400 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;4X4;1;4.713 m;2.98 m;1.597 m;1.881 m;600 Litres;2063 kg;81/519 Litres;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";225/55 R 19;
Hyundai;Ioniq;2021;59900 €;306 ch;605 Nm;5.2 secondes;185 km/h;Avant;95 ch;Aimant permanent (synchrone);255 Nm;Arrière;211 ch;Aimant permanent (synchrone);350 Nm;;;;;72.6 kWh;70 kWh;Type 2;CCS Combo;11 kW;233 kW;Liquide;;33 min. à 233 kW / 39 min. à 120 kW;25h43 à 2.3 kW;19h43 à 3 kW;5h23 à 11 kW;460 km;17.7 kWh/100km;Oui;;4X4;1;4.635 m;3 m;1.647 m;1.89 m;551 Litres;2095 kg;24/527 Litres;;Macpherson;Multibras;Electrique;E-GMP;255/45 R 20;
Kia;EV6;2021;53890 €;325 ch;605 Nm;5.4 secondes;185 km/h;Avant;95 ch;Aimant permanent (synchrone);255 Nm;Arrière;211 ch;Aimant permanent (synchrone);350 Nm;;;;;77.4 kWh;72.5 kWh;Type 2;CCS Combo;11 kW;233 kW;Liquide;;25 min. à 233 kW / 34 min. à 120 kW;27h07 à 2.3 kW;20h47 à 3 kW;5h40 à 11 kW;506 km;17.2 kWh/100km;En option;;4X4;1;4.68 m;2.9 m;1.55 m;1.88 m;510 Litres;2090 kg;20/490 Litres;;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Mercedes;EQA;2022;55750 €;190 ch;385 Nm;8.6 secondes;160 km/h;Avant;"<i style=""color:#A5A5A5"">NC</i>";A induction (asynchrone);"<i style=""color:#A5A5A5"">NC</i>";;;;;;;;;79.8 kWh;70.5 kWh;Type 2;CCS Combo;11 kW;100 kW;Liquide;;40 min. à 100 kW;28h10 à 2.3 kW;21h36 à 3 kW;5h53 à 11 kW;489 km;14.5 kWh/100km;Oui;;Traction;1;4.463 m;2.729 m;1.62 m;1.834 m;340 Litres;2040 kg;;;Macpherson;Multibras;Thermique;MRA;235/55 R 18;
MG;Marvel;2022;50990 €;289 ch;665 Nm;4.9 secondes;200 km/h;Avant;109 ch;Aimant permanent (synchrone);255 Nm;Arrière;71 ch;Aimant permanent (synchrone);155 Nm;Arrière;109 ch;Aimant permanent (synchrone);255 Nm;70 kWh;66 kWh;Type 2;CCS Combo;11 kW;92 kW;Liquide;;47 min. à 92 kW;24h39 à 2.3 kW;18h54 à 3 kW;5h09 à 11 kW;370 km;20.9 kWh/100km;En option;;4X4;2;4.674 m;2.804 m;1.613 m;1.919 m;357 Litres;1995 kg;;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";235/45 R 19;
Nissan;Ariya;2021;57400 €;242 ch;300 Nm;7.6 secondes;160 km/h;Avant;242 ch;A excitation (synchrone);300 Nm;;;;;;;;;90 kWh;87 kWh;Type 2;CCS Combo;7.4 kW;22 kW;130 kW;Liquide;43 min. à 130 kW / 45 min. à 120 kW;31h42 à 2.3 kW;24h18 à 3 kW;9h51 à 7.4 kW;520 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;Traction;1;4.595 m;2.775 m;1.65 m;1.85 m;468 Litres;2089 kg;;;Macpherson;Multibras;Thermique;CMF-EV ;235/55 R 19 ;
Peugeot;E-Traveler;2022;56700 €;136 ch;260 Nm;10.8 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;1;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;230 km;25.1 kWh/100km;Oui;;Traction;1;4.959 m;3.275 m;1.899 m;1.92 m;1556 Litres;1894 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/60 R 17;
Peugeot;E-Traveler;2022;57700 €;136 ch;260 Nm;10.8 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;50 kWh;46 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;1;33 min. à 100 kW;17h37 à 2.3 kW;13h30 à 3 kW;5h28 à 7.4 kW;230 km;25.2 kWh/100km;Oui;;Traction;1;5.306 m;3.275 m;1.899 m;1.92 m;1950 Litres;1914 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/60 R 17;
Skoda;Enyaq;2021;52030 €;265 ch;425 Nm;6.9 secondes;160 km/h;Avant;109 ch;A induction (asynchrone);160 Nm;Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;135 kW;Liquide;;38 min. à 135 kW / 40 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;495 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;4X4;1;4.653 m;2.765 m;1.605 m;1.879 m;585 Litres;2120 kg;;;Macpherson;Multibras;Electrique;MEB;235/50 R 20;255/45 R 20
Tesla;Model;2018;53990 €;441 ch;493 Nm;4.4 secondes;233 km/h;Avant;165 ch;A induction (asynchrone);163 Nm;Arrière;276 ch;Aimant permanent + réluctance variable (synchrone);330 Nm;;;;;77 kWh;74 kWh;Type 2;CCS Combo;11 kW;250 kW;Liquide;;25 min. à 250 kW / 34 min. à 120 kW;27h07 à 2.3 kW;20h47 à 3 kW;5h40 à 11 kW;560 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;4X4;1;4.69 m;2.88 m;1.44 m;1.85 m;545 Litres;1919 kg;50/495 Litres;;Double triangle;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";235/45 R 18;
Tesla;Model;2018;59990 €;513 ch;660 Nm;3.2 secondes;233 km/h;Avant;215 ch;A induction (asynchrone);240 Nm;Arrière;298 ch;Aimant permanent + réluctance variable (synchrone);420 Nm;;;;;77 kWh;74 kWh;Type 2;CCS Combo;11 kW;250 kW;Liquide;;25 min. à 250 kW / 34 min. à 120 kW;27h07 à 2.3 kW;20h47 à 3 kW;5h40 à 11 kW;530 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;4X4;1;4.69 m;2.88 m;1.44 m;1.85 m;545 Litres;1922 kg;50/495 Litres;;Double triangle;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";235/35 R 20;
Tesla;Model;2021;53490 €;276 ch;330 Nm;6.1 secondes;225 km/h;Arrière;276 ch;Aimant permanent + réluctance variable (synchrone);330 Nm;;;;;;;;;62 kWh;57.5 kWh;Type 2;CCS Combo;11 kW;170 kW;Liquide;;24 min. à 170 kW / 29 min. à 120 kW;21h50 à 2.3 kW;16h44 à 3 kW;4h34 à 11 kW;491 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;Propulsion;1;4.69 m;2.88 m;1.44 m;1.85 m;545 Litres;1845 kg;50/495 Litres;;Double triangle;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";235/45 R 18;
Volkswagen;ID4;2020;54450 €;299 ch;460 Nm;6.2 secondes;180 km/h;Avant;109 ch;A induction (asynchrone);160 Nm;Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;150 kW;Liquide;;34 min. à 150 kW / 38 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;478 km;18.4 kWh/100km;En option;;4X4;1;4.582 m;2.769 m;1.637 m;1.852 m;543 Litres;2224 kg;;;Macpherson;Multibras;Electrique;MEB;235/50 R 20;255/45 R 20
Volvo;XC40;2020;58050 €;408 ch;660 Nm;4.9 secondes;180 km/h;Avant;204 ch;Aimant permanent (synchrone);330 Nm;Arrière;204 ch;Aimant permanent (synchrone);330 Nm;;;;;78 kWh;75 kWh;Type 2;CCS Combo;11 kW;150 kW;Liquide;;32 min. à 150 kW / 36 min. à 120 kW;27h28 à 2.3 kW;21h04 à 3 kW;5h45 à 11 kW;438 km;23.8 kWh/100km;Oui;;4X4;1;4.425 m;2.702 m;1.652 m;1.863 m;483 Litres;2188 kg;31/452 Litres;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";235/50 R 19;
Audi;Q4;2021;65700 €;299 ch;460 Nm;6.2 secondes;180 km/h;Avant;170 ch;A induction (asynchrone);"<i style=""color:#A5A5A5"">NC</i>";Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;125 kW;Liquide;;41 min. à 125 kW / 42 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;478 km;18.4 kWh/100km;En option;;4X4;1;4.588 m;2.764 m;1.632 m;1.865 m;535 Litres;2205 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Audi;Q4;2021;61700 €;265 ch;460 Nm;6.9 secondes;180 km/h;Avant;170 ch;A induction (asynchrone);"<i style=""color:#A5A5A5"">NC</i>";Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;125 kW;Liquide;;41 min. à 125 kW / 42 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;487 km;18.6 kWh/100km;En option;;4X4;1;4.588 m;2.764 m;1.614 m;1.865 m;535 Litres;2210 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Audi;Q4;2021;67700 €;299 ch;460 Nm;6.2 secondes;180 km/h;Avant;170 ch;A induction (asynchrone);"<i style=""color:#A5A5A5"">NC</i>";Arrière;204 ch;Aimant permanent (synchrone);310 Nm;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;125 kW;Liquide;;41 min. à 125 kW / 42 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;485 km;18.8 kWh/100km;En option;;4X4;1;4.588 m;2.764 m;1.614 m;1.865 m;535 Litres;2210 kg;;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
BMW;iX3;2020;69500 €;286 ch;400 Nm;6.8 secondes;180 km/h;Arrière;286 ch;A excitation (synchrone);400 Nm;;;;;;;;;80 kWh;74 kWh;Type 2;CCS Combo;7.4 kW;150 kW;Liquide;;33 min. à 150 kW / 37 min. à 120 kW;28h10 à 2.3 kW;21h36 à 3 kW;8h45 à 7.4 kW;461 km;18.5 kWh/100km;Oui;;Propulsion;1;4.734 m;2.864 m;1.668 m;1.891 m;510 Litres;2255 kg;;;Macpherson;Multibras;Thermique;CLAR;245/50 R 19;
Fiat;E-Ulysse;2022;60900 €;136 ch;260 Nm;11.9 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;75 kWh;68 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;1;42 min. à 100 kW;26h25 à 2.3 kW;20h15 à 3 kW;8h13 à 7.4 kW;323 km;25.6 kWh/100km;Oui;;Traction;1;4.956 m;3.275 m;1.89 m;1.92 m;1556 Litres;2065 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/60 R 17;
Fiat;E-Ulysse;2022;60900 €;136 ch;260 Nm;11.9 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;75 kWh;68 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;1;42 min. à 100 kW;26h25 à 2.3 kW;20h15 à 3 kW;8h13 à 7.4 kW;303 km;25.4 kWh/100km;Oui;;Traction;1;5.306 m;3.275 m;1.89 m;1.92 m;1950 Litres;2092 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/60 R 17;
Ford;Mustang;2020;65500 €;351 ch;580 Nm;5.8 secondes;180 km/h;Avant;"<i style=""color:#A5A5A5"">NC</i>";Aimant permanent (synchrone);"<i style=""color:#A5A5A5"">NC</i>";Arrière;"<i style=""color:#A5A5A5"">NC</i>";Aimant permanent (synchrone);"<i style=""color:#A5A5A5"">NC</i>";;;;;99 kWh;88 kWh;Type 2;CCS Combo;11 kW;150 kW;Liquide;;33 min. à 150 kW / 41 min. à 120 kW;34h52 à 2.3 kW;26h44 à 3 kW;7h17 à 11 kW;540 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;4X4;1;4.713 m;2.98 m;1.597 m;1.881 m;600 Litres;2182 kg;81/519 Litres;;Macpherson;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";225/55 R 19;
Hyundai;Ioniq;2022;62400 €;325 ch;605 Nm;5.1 secondes;185 km/h;Avant;95 ch;Aimant permanent (synchrone);255 Nm;Arrière;229 ch;Aimant permanent (synchrone);350 Nm;;;;;77.4 kWh;72.6 kWh;Type 2;CCS Combo;11 kW;233 kW;Liquide;;25 min. à 233 kW / 34 min. à 120 kW;27h07 à 2.3 kW;20h47 à 3 kW;5h40 à 11 kW;481 km;17.7 kWh/100km;Oui;;4X4;1;4.635 m;3 m;1.647 m;1.89 m;551 Litres;2200 kg;24/527 Litres;;Macpherson;Multibras;Electrique;E-GMP;255/45 R 20;
Kia;EV6;2021;65990 €;585 ch;740 Nm;3.5 secondes;260 km/h;Avant;250 ch;Aimant permanent (synchrone);350 Nm;Arrière;350 ch;Aimant permanent (synchrone);500 Nm;;;;;77.4 kWh;72.5 kWh;Type 2;CCS Combo;11 kW;233 kW;Liquide;;25 min. à 233 kW / 34 min. à 120 kW;27h07 à 2.3 kW;20h47 à 3 kW;5h40 à 11 kW;406 km;19.1 kWh/100km;Oui;;4X4;1;4.68 m;2.9 m;1.55 m;1.88 m;510 Litres;2250 kg;20/490 Litres;;Macpherson;Multibras;Electrique;E-GMP;255/40 R 21;
Mercedes;EQA;2021;61200 €;292 ch;520 Nm;6 secondes;160 km/h;Avant;"<i style=""color:#A5A5A5"">NC</i>";A induction (asynchrone);"<i style=""color:#A5A5A5"">NC</i>";Arrière;"<i style=""color:#A5A5A5"">NC</i>";Aimant permanent (synchrone);"<i style=""color:#A5A5A5"">NC</i>";;;;;79.8 kWh;66.5 kWh;Type 2;CCS Combo;11 kW;100 kW;Liquide;;40 min. à 100 kW;28h10 à 2.3 kW;21h36 à 3 kW;5h53 à 11 kW;434 km;17.6 kWh/100km;Oui;;4X4;1;4.463 m;2.729 m;1.62 m;1.834 m;340 Litres;2015 kg;;;Macpherson;Multibras;Thermique;MRA;235/55 R 18;
Mercedes;EQB;2021;63041 €;228 ch;390 Nm;8 secondes;160 km/h;Avant;"<i style=""color:#A5A5A5"">NC</i>";A induction (asynchrone);"<i style=""color:#A5A5A5"">NC</i>";Arrière;"<i style=""color:#A5A5A5"">NC</i>";Aimant permanent (synchrone);"<i style=""color:#A5A5A5"">NC</i>";;;;;79.8 kWh;66.5 kWh;Type 2;CCS Combo;11 kW;100 kW;Liquide;;40 min. à 100 kW;28h10 à 2.3 kW;21h36 à 3 kW;5h53 à 11 kW;395 km;19.2 kWh/100km;Oui;;4X4;1;4.684 m;2.829 m;1.667 m;1.834 m;495 Litres;2175 kg;;;Macpherson;Multibras;Thermique;MRA;235/55 R 18;
Mercedes;EQB;2021;65945 €;292 ch;520 Nm;6.2 secondes;160 km/h;Avant;"<i style=""color:#A5A5A5"">NC</i>";A induction (asynchrone);"<i style=""color:#A5A5A5"">NC</i>";Arrière;"<i style=""color:#A5A5A5"">NC</i>";Aimant permanent (synchrone);"<i style=""color:#A5A5A5"">NC</i>";;;;;79.8 kWh;66.5 kWh;Type 2;CCS Combo;11 kW;100 kW;Liquide;;40 min. à 100 kW;28h10 à 2.3 kW;21h36 à 3 kW;5h53 à 11 kW;395 km;19.2 kWh/100km;Oui;;4X4;1;4.684 m;2.829 m;1.667 m;1.834 m;495 Litres;2175 kg;;;Macpherson;Multibras;Thermique;MRA;235/55 R 18;
Nissan;Ariya;2021;60400 €;306 ch;600 Nm;5.7 secondes;200 km/h;Avant;242 ch;A excitation (synchrone);300 Nm;Arrière;242 ch;A excitation (synchrone);300 Nm;;;;;90 kWh;87 kWh;Type 2;CCS Combo;7.4 kW;22 kW;130 kW;Liquide;43 min. à 130 kW / 45 min. à 120 kW;31h42 à 2.3 kW;24h18 à 3 kW;9h51 à 7.4 kW;493 km;"<i style=""color:#A5A5A5"">NC</i>";En option;;4X4;1;4.595 m;2.775 m;1.65 m;1.85 m;415 Litres;2218 kg;;;Macpherson;Multibras;Thermique;CMF-EV ;255/45 R 20;
Peugeot;E-Traveler;2022;62700 €;136 ch;260 Nm;11.9 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;75 kWh;68 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;1;42 min. à 100 kW;26h25 à 2.3 kW;20h15 à 3 kW;8h13 à 7.4 kW;330 km;26.6 kWh/100km;Oui;;Traction;1;4.959 m;3.275 m;1.899 m;1.92 m;1556 Litres;2065 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/60 R 17;
Peugeot;E-Traveler;2022;63700 €;136 ch;260 Nm;11.9 secondes;130 km/h;Avant;136 ch;Aimant permanent (synchrone);260 Nm;;;;;;;;;75 kWh;68 kWh;Type 2;CCS Combo;7.4 kW;11 kW;100 kW;1;42 min. à 100 kW;26h25 à 2.3 kW;20h15 à 3 kW;8h13 à 7.4 kW;330 km;26.8 kWh/100km;Oui;;Traction;1;5.306 m;3.275 m;1.899 m;1.92 m;1950 Litres;2065 kg;;;Macpherson;Multibras;Thermique;"<i style=""color:#A5A5A5"">NC</i>";215/60 R 17;
Tesla;Model;2021;62490 €;441 ch;493 Nm;4.4 secondes;233 km/h;Avant;165 ch;A induction (asynchrone);163 Nm;Arrière;276 ch;Aimant permanent + réluctance variable (synchrone);330 Nm;;;;;82 kWh;77 kWh;Type 2;CCS Combo;11 kW;250 kW;Liquide;;26 min. à 250 kW / 36 min. à 120 kW;28h53 à 2.3 kW;22h08 à 3 kW;6h02 à 11 kW;602 km;"<i style=""color:#A5A5A5"">NC</i>";Oui;;4X4;1;4.69 m;2.88 m;1.44 m;1.85 m;545 Litres;1920 kg;50/495 Litres;;Double triangle;Multibras;Electrique;"<i style=""color:#A5A5A5"">NC</i>";235/45 R 18;
