fabricant;modele;annee;prix_Eur;puissance_cumul_Ch;couple_cumul_Nm;tps_acc_0_100_Sec;vitesse_max_Km_h;position_moteur_1;puissance_moteur_1_Ch;type_moteur_1;couple_moteur_1_Nm;position_moteur_2;puissance_moteur_2_Ch;type_moteur_2;couple_moteur_2_Nm;position_moteur_3;puissance_moteur_3_Ch;type_moteur_3;couple_moteur_3_Nm;homologation_autonomie;capacite_nominale_brute_KWh;capacite_utile_nette_KWh;prise_charge_AC;prise_charge_DC;vitesse_charge_AC_KW;vitesse_charge_AC_option_KW;vitesse_charge_DC_KW;vitesse_charge_DC_option_KW;refroidissement;temps_charge_DC_0_80;temps_charge_AC_0_80_prise_dom_2_3kW;temps_charge_AC_0_80_prise_dom_renforcee_3kW;autonomie_electrique_mixte_Km;conso_electrique_KWh_100km;pompe_chaleur;motricite;rapports;longueur_M;empattement_M;hauteur_M;largeur_M;coffre_L;poids_Kg;coffre_avant_arriere_L;essieu_avant;essieu_arriere;base_chassis;plateforme;pneus;pneus_arriere
Volkswagen;ID3 Pro;2020;39300;145;275;9.6;160;Arrière;145;Aimant permanent (synchrone);275;;;;;;;;;WLTP;62;58;Type 2;CCS Combo;11;;120;;Liquide;34 min. à 120 kW;21h50;16h44;417;15.5 ;En option;Propulsion;1;4.261;2.77;1.568;1.809;385.0;1812.0;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Audi;Q4 E-Tron 35;2021;42800;170;310;9.0;160;Arrière;170;Aimant permanent (synchrone);310;;;;;;;;;WLTP;55;52;Type 2;CCS Combo;7.4;;110;;Liquide;33 min. à 110 kW;19h22;14h51;336;17.3 ;En option;Propulsion;1;4.588;2.764;1.632;1.865;535.0;1965.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Audi;Q4 E-Tron 40;2021;48700;204;310;8.5;160;Arrière;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;82;77;Type 2;CCS Combo;11;;125;;Liquide;41 min. à 125 kW / 42 min. à 120 kW;28h53;22h08;513;17.6 ;En option;Propulsion;1;4.588;2.764;1.632;1.865;535.0;1965.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Audi;Q4 E-Tron Sportback 35;2021;44800;170;310;9.0;160;Arrière;170;Aimant permanent (synchrone);310;;;;;;;;;WLTP;55;52;Type 2;CCS Combo;7.4;;110;;Liquide;33 min. à 110 kW;19h22;14h51;341;17 ;En option;Propulsion;1;4.588;2.764;1.614;1.865;535.0;1970.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
BMW;i3 S 94Ah;2017;42336;184;270;6.9;160;Arrière;184;Aimant permanent (synchrone);270;;;;;;;;;WLTP;33;27.2;Type 2;CCS Combo;7.4;;50;;Liquide;42 min. à 50 kW;11h37;8h55;240;;En option;Propulsion;1;4.006;2.57;1.59;1.775;260.0;1365.0;;Macpherson;Multibras;Electrique;;195/50 R20 (Ar);
BMW;i3 S 120Ah;2019;42500;184;270;6.9;160;Arrière;184;Aimant permanent (synchrone);270;;;;;;;;;WLTP;42.2;37.9;Type 2;CCS Combo;7.4;;50;;Liquide;52 min. à 50 kW;14h47;11h20;283;16.2 ;En option;Propulsion;1;4.011;2.57;1.577;1.775;260.0;1365.0;;Macpherson;Multibras;Electrique;;195/50 R20 (Ar);
Cupra;Born V;2022;42700;204;310;7.3;160;Arrière;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;62;58;Type 2;CCS Combo;11;;120;;Liquide;34 min. à 120 kW;21h50;16h44;424;15.5 ;En option;Propulsion;1;4.322;2.766;1.54;1.809;385.0;1736.0;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Cupra;Born VZ58;2022;43990;231;310;6.6;160;Arrière;231;Aimant permanent (synchrone);310;;;;;;;;;WLTP;62;58;Type 2;CCS Combo;11;;120;;Liquide;34 min. à 120 kW;21h50;16h44;417;16 ;En option;Propulsion;1;4.322;2.766;1.54;1.809;385.0;1749.0;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Ford;Mustang Mach-e RWD Standard Range;2020;48990;269;430;6.9;180;Arrière;269;Aimant permanent (synchrone);430;;;;;;;;;WLTP;75.7;68;Type 2;CCS Combo;11;;115;;Liquide;33 min. à 115 kW;26h46;20h31;440;;En option;Propulsion;1;4.713;2.98;1.597;1.881;600.0;1969.0;81/519;Macpherson;Multibras;Electrique;;225/60 R 18;
Hyundai;Ioniq 5;2021;43600;170;350;8.5;185;Arrière;170;Aimant permanent (synchrone);350;;;;;;;;;WLTP;58;54;Type 2;CCS Combo;11;;175;;Liquide;35 min. à 175 kW / 37 min. à 120 kW;20h26;15h40;384;16.7 ;En option;Propulsion;1;4.635;3.0;1.647;1.89;584.0;1905.0;57/527;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Hyundai;Ioniq 5;2021;46800;218;350;7.4;185;Arrière;218;Aimant permanent (synchrone);350;;;;;;;;;WLTP;72.6;70;Type 2;CCS Combo;11;;233;;Liquide;33 min. à 233 kW / 39 min. à 120 kW;25h43;19h43;481;16.8 ;En option;Propulsion;1;4.635;3.0;1.647;1.89;584.0;1985.0;57/527;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Hyundai;Ioniq 5;2022;49700;229;350;7.3;185;Arrière;229;Aimant permanent (synchrone);350;;;;;;;;;WLTP;77.4;72.6;Type 2;CCS Combo;11;;233;;Liquide;25 min. à 233 kW / 34 min. à 120 kW;27h07;20h47;507;16.8 ;En option;Propulsion;1;4.635;3.0;1.647;1.89;584.0;2090.0;57/527;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Hyundai;Kona;2018;43900;204;395;7.6;167;Avant;204;Aimant permanent (synchrone);395;;;;;;;;;WLTP;67;64;Type 2;CCS Combo;7.2;;77;;Liquide;54 min. à 77 kW;23h36;18h05;449;15.4 ;Oui;Traction;1;4.18;2.6;1.57;1.8;332.0;1760.0;;Macpherson;Multibras;Thermique;;215/55 R 17;
Kia;E-Niro;2018;41100;204;395;7.8;167;Avant;204;Aimant permanent (synchrone);395;;;;;;;;;WLTP;67;64;Type 2;CCS Combo;7.2;11;77;;Liquide;54 min. à 77 kW;23h36;18h05;455;15.9 ;Oui;Traction;1;4.375;2.7;1.57;1.81;451.0;1802.0;;Macpherson;Multibras;Thermique;;215/55 R 17;
Kia;E-Soul;2019;41300;204;395;7.9;167;Avant;204;Aimant permanent (synchrone);395;;;;;;;;;WLTP;67;64;Type 2;CCS Combo;7.4;11;77;;Liquide;54 min. à 77 kW;23h36;18h05;452;15.7 ;Oui;Traction;1;4.195;2.6;1.605;1.8;224.0;1758.0;;Macpherson;Multibras;Thermique;;215/55 R 17;
Kia;EV6 RWD;2021;43990;170;350;8.5;185;Arrière;170;Aimant permanent (synchrone);350;;;;;;;;;WLTP;58;54;Type 2;CCS Combo;11;;175;;Liquide;35 min. à 175 kW / 37 min. à 120 kW;20h26;15h40;394;16.6 ;Non;Propulsion;1;4.68;2.9;1.55;1.88;542.0;1860.0;52/490;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Kia;EV6 RWD;2021;48690;229;350;7.5;185;Arrière;229;Aimant permanent (synchrone);350;;;;;;;;;WLTP;77.4;72.5;Type 2;CCS Combo;11;;233;;Liquide;25 min. à 233 kW / 34 min. à 120 kW;27h07;20h47;528;16.6 ;Non;Propulsion;1;4.68;2.9;1.55;1.88;542.0;1985.0;52/490;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Kia;Niro EV;2022;44490;204;255;7.8;167;Avant;204;Aimant permanent (synchrone);255;;;;;;;;;WLTP;68;64.8;Type 2;CCS Combo;11;;72;;Liquide;59 min. à 72 kW;23h57;18h22;463;16.2 ;En option;Traction;1;4.42;2.72;1.57;1.825;495.0;1757.0;20/475;Macpherson;Multibras;Thermique;;215/55 R 17;
Lexus;UX 300e;2020;49990;204;300;7.5;160;Avant;204;Aimant permanent (synchrone);300;;;;;;;;;WLTP;54.3;;Type 2;CCS Combo;6.6;;50;;Air;55 min. à 50 kW;19h01;14h35;313;16.9 ;Non;Traction;1;4.495;2.64;1.545;1.84;367.0;1785.0;;Macpherson;Multibras;Thermique;E-TNGA;215/60 R 17;
Mercedes;EQA 250;2021;49900;190;375;8.9;160;Avant;;A induction (asynchrone);;;;;;;;;;WLTP;79.8;66.5;Type 2;CCS Combo;11;;100;;Liquide;40 min. à 100 kW;28h10;21h36;426;17.7 ;Oui;Traction;1;4.463;2.729;1.62;1.834;340.0;2040.0;;Macpherson;Multibras;Thermique;MRA;235/55 R 18;
Nissan;Ariya Traction;2021;46400;218;300;7.5;160;Avant;218;A excitation (synchrone);300;;;;;;;;;WLTP;65;63;Type 2;CCS Combo;7.4;;130;;Liquide;41 min. à 130 kW / 42 min. à 120 kW;22h53;17h33;403;;En option;Traction;1;4.595;2.775;1.65;1.85;468.0;1980.0;;Macpherson;Multibras;Thermique;CMF-EV ;235/55 R 19 ;
Nissan;Leaf II;2019;43700;217;340;7.3;157;Avant;217;Aimant permanent (synchrone);340;;;;;;;;;;62;56.5;Type 2;Chademo;6.6;;50;;Air;77 min. à 50 kW;21h50;16h44;385;18.5 ;Oui;Traction;1;4.49;2.7;1.54;1.788;435.0;1731.0;;Macpherson;Semi-rigide;Thermique;;205/55 R 16;
Peugeot;E-Rifter Long;2021;40500;136;260;11.2;130;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;Liquide;33 min. à 100 kW;17h37;13h30;276;;Oui;Traction;1;4.753;2.975;1.874;1.848;850.0;1822.0;;Macpherson;Semi-rigide;Thermique;E-CMP;215/65 R 16;
Renault;Megane e-Tech EV60;2022;40200;220;300;7.4;160;Avant;220;A excitation (synchrone);300;;;;;;;;;WLTP;63;60;Type 2;CCS Combo;7.4;22;130;;Liquide;40 min. à 130 kW / 41 min. à 120 kW;22h11;17h01;450;16.1 ;En option;Traction;1;4.2;2.685;1.505;1.768;440.0;1636.0;;Macpherson;Multibras;Thermique;CMF-EV ;195/60 R 18;
Skoda;Enyaq 60;2021;43200;180;310;8.8;160;Arrière;180;Aimant permanent (synchrone);310;;;;;;;;;WLTP;62;58;Type 2;CCS Combo;11;;120;;Liquide;34 min. à 120 kW;21h50;16h44;412;14.6 ;En option;Propulsion;1;4.649;2.765;1.616;1.879;585.0;1917.0;;Macpherson;Multibras;Electrique;MEB;235/60 R 18;
Skoda;Enyaq 80;2021;49760;204;310;8.7;160;Arrière;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;82;77;Type 2;CCS Combo;11;;135;;Liquide;38 min. à 135 kW / 40 min. à 120 kW;28h53;22h08;534;15.2 ;En option;Propulsion;1;4.649;2.765;1.616;1.879;585.0;2032.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Tesla;Model Y Propulsion;2022;49990;276;330;6.9;217;Arrière;276;Aimant permanent + réluctance variable (synchrone);330;;;;;;;;;WLTP;62;57.5;Type 2;CCS Combo;11;;170;;Liquide;24 min. à 170 kW / 29 min. à 120 kW;21h50;16h44;455;;Oui;Propulsion;1;4.75;2.89;1.62;1.92;815.0;1984.0;115/700;Double triangle;Multibras;Electrique;;255/45 R 19;
Volkswagen;ID Buzz;2022;47990;204;310;10.2;145;Arrière;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;82;77;Type 2;CCS Combo;11;;170;;1;30 min. à 170 kW / 36 min. à 120 kW;28h53;22h08;416;20.4 ;En option;Propulsion;1;5.699;2.989;1.712;1.985;1121.0;2368.0;;Macpherson;Multibras;Electrique;;235/60 R 18 ;255/55 R 18 
Volkswagen;ID3 Pro Performance;2020;40900;204;310;7.3;160;Arrière;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;62;58;Type 2;CCS Combo;11;;120;;Liquide;34 min. à 120 kW;21h50;16h44;417;15.5 ;En option;Propulsion;1;4.261;2.77;1.568;1.809;385.0;1812.0;;Macpherson;Multibras;Electrique;MEB;215/55 R 18;
Volkswagen;ID3 Pro S;2020;44600;204;310;7.9;160;Arrière;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;82;77;Type 2;CCS Combo;11;;135;;Liquide;38 min. à 135 kW / 40 min. à 120 kW;28h53;22h08;545;15.8 ;En option;Propulsion;1;4.261;2.77;1.568;1.809;385.0;1928.0;;Macpherson;Multibras;Electrique;MEB;215/50 R 19;
Volkswagen;ID4 Pure;2020;41500;149;310;10.9;160;Arrière;149;Aimant permanent (synchrone);310;;;;;;;;;WLTP;55;52;Type 2;CCS Combo;7.2;;50;110;Liquide;69 min. à 50 kW;19h22;14h51;342;16.9 ;En option;Propulsion;1;4.584;2.771;1.64;1.852;543.0;1968.0;;Macpherson;Multibras;Electrique;MEB;235/60 R 18;
Volkswagen;ID4 Pure Performance;2020;43100;170;310;9.0;160;Arrière;170;Aimant permanent (synchrone);310;;;;;;;;;WLTP;55;52;Type 2;CCS Combo;7.2;;50;110;Liquide;69 min. à 50 kW;19h22;14h51;342;16.9 ;En option;Propulsion;1;4.584;2.771;1.64;1.852;543.0;1965.0;;Macpherson;Multibras;Electrique;MEB;235/60 R 18;
Volkswagen;ID4 Pro;2020;47800;174;310;8.9;160;Arrière;174;Aimant permanent (synchrone);310;;;;;;;;;WLTP;82;77;Type 2;CCS Combo;11;;135;;Liquide;38 min. à 135 kW / 40 min. à 120 kW;28h53;22h08;511;17.1 ;En option;Propulsion;1;4.584;2.771;1.64;1.852;543.0;2109.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Volkswagen;ID4 Pro Performance;2020;49400;204;310;8.5;180;Arrière;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;82;77;Type 2;CCS Combo;11;;135;;Liquide;38 min. à 135 kW / 40 min. à 120 kW;28h53;22h08;511;17.1 ;En option;Propulsion;1;4.584;2.771;1.64;1.852;543.0;2109.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Volvo;XC40 Recharge;2022;45800;231;330;7.4;160;Avant;231;Aimant permanent (synchrone);330;;;;;;;;;WLTP;69;67;Type 2;CCS Combo;11;;150;;Liquide;38 min. à 150 kW / 40 min. à 120 kW;24h18;18h38;425;23.8 ;Oui;Traction;1;4.425;2.702;1.652;1.863;483.0;2030.0;31/452;Macpherson;Multibras;Thermique;;235/50 R 19;
Audi;Q4 E-Tron 45 Quattro;2021;59700;265;460;6.9;180;Avant;170;A induction (asynchrone);;Arrière;204;Aimant permanent (synchrone);310;;;;;WLTP;82;77;Type 2;CCS Combo;11;;125;;Liquide;41 min. à 125 kW / 42 min. à 120 kW;28h53;22h08;481;18.2 ;En option;4X4;1;4.588;2.764;1.632;1.865;535.0;2205.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
Audi;Q4 E-Tron Sportback 40;2021;50700;204;310;8.5;160;Arrière;204;Aimant permanent (synchrone);310;;;;;;;;;WLTP;82;77;Type 2;CCS Combo;11;;125;;Liquide;41 min. à 125 kW / 42 min. à 120 kW;28h53;22h08;522;17.2 ;En option;Propulsion;1;4.588;2.764;1.614;1.865;535.0;1970.0;;Macpherson;Multibras;Electrique;MEB;235/55 R 19;255/50 R 19
BMW;i4 EDrive 40;2021;59700;340;430;5.7;190;Arrière;340;A excitation (synchrone);430;;;;;;;;;WLTP;83.9;80.7;Type 2;CCS Combo;11;;205;;Liquide;28 min. à 205 kW / 37 min. à 120 kW;29h35;22h41;590;16.1 ;Oui;Propulsion;1;4.783;2.856;1.448;1.852;470.0;2050.0;;Macpherson;Multibras;Thermique;CLAR;225/55 R 17;
BMW;i4 eDrive 35;2023;57500;286;400;6.0;190;Arrière;286;A excitation (synchrone);400;;;;;;;;;WLTP;70.2;66;Type 2;CCS Combo;11;;185;;Liquide;25 min. à 185 kW / 31 min. à 120 kW;24h39;18h54;483;15.8 ;Oui;Propulsion;1;4.783;2.856;1.448;1.852;470.0;1990.0;;Macpherson;Multibras;Thermique;CLAR;225/55 R 17;
Fiat;E-Ulysse Standard;2022;54900;136;260;10.8;130;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;1;33 min. à 100 kW;17h37;13h30;226;25.2 ;Oui;Traction;1;4.956;3.275;1.89;1.92;1556.0;1894.0;;Macpherson;Multibras;Thermique;;215/60 R 17;
Ford;Mustang Mach-e RWD Extended Range;2020;56500;294;430;7.0;180;Arrière;294;Aimant permanent (synchrone);430;;;;;;;;;WLTP;99;88;Type 2;CCS Combo;11;;150;;Liquide;33 min. à 150 kW / 41 min. à 120 kW;34h52;26h44;610;;En option;Propulsion;1;4.713;2.98;1.597;1.881;600.0;2085.0;81/519;Macpherson;Multibras;Electrique;;225/60 R 18;
Ford;Mustang Mach-e AWD Standard Range;2020;56500;269;580;6.3;180;Avant;;Aimant permanent (synchrone);;Arrière;;Aimant permanent (synchrone);;;;;;WLTP;75.7;68;Type 2;CCS Combo;11;;115;;Liquide;33 min. à 115 kW;26h46;20h31;400;;En option;4X4;1;4.713;2.98;1.597;1.881;600.0;2063.0;81/519;Macpherson;Multibras;Electrique;;225/55 R 19;
Hyundai;Ioniq 5 HTRAC;2021;59900;306;605;5.2;185;Avant;95;Aimant permanent (synchrone);255;Arrière;211;Aimant permanent (synchrone);350;;;;;WLTP;72.6;70;Type 2;CCS Combo;11;;233;;Liquide;33 min. à 233 kW / 39 min. à 120 kW;25h43;19h43;460;17.7 ;Oui;4X4;1;4.635;3.0;1.647;1.89;551.0;2095.0;24/527;Macpherson;Multibras;Electrique;E-GMP;255/45 R 20;
Kia;EV6 AWD;2021;53890;325;605;5.4;185;Avant;95;Aimant permanent (synchrone);255;Arrière;211;Aimant permanent (synchrone);350;;;;;WLTP;77.4;72.5;Type 2;CCS Combo;11;;233;;Liquide;25 min. à 233 kW / 34 min. à 120 kW;27h07;20h47;506;17.2 ;En option;4X4;1;4.68;2.9;1.55;1.88;510.0;2090.0;20/490;Macpherson;Multibras;Electrique;E-GMP;235/55 R 19;
Mercedes;EQA 250 +;2022;55750;190;385;8.6;160;Avant;;A induction (asynchrone);;;;;;;;;;WLTP;79.8;70.5;Type 2;CCS Combo;11;;100;;Liquide;40 min. à 100 kW;28h10;21h36;489;14.5 ;Oui;Traction;1;4.463;2.729;1.62;1.834;340.0;2040.0;;Macpherson;Multibras;Thermique;MRA;235/55 R 18;
MG;Marvel R Performance;2022;50990;289;665;4.9;200;Avant;109;Aimant permanent (synchrone);255;Arrière;71;Aimant permanent (synchrone);155;Arrière;109;Aimant permanent (synchrone);255;WLTP;70;66;Type 2;CCS Combo;11;;92;;Liquide;47 min. à 92 kW;24h39;18h54;370;20.9 ;En option;4X4;2;4.674;2.804;1.613;1.919;357.0;1995.0;;Macpherson;Multibras;Electrique;;235/45 R 19;
Nissan;Ariya Traction;2021;57400;242;300;7.6;160;Avant;242;A excitation (synchrone);300;;;;;;;;;WLTP;90;87;Type 2;CCS Combo;7.4;22;130;;Liquide;43 min. à 130 kW / 45 min. à 120 kW;31h42;24h18;520;;En option;Traction;1;4.595;2.775;1.65;1.85;468.0;2089.0;;Macpherson;Multibras;Thermique;CMF-EV ;235/55 R 19 ;
Peugeot;E-Traveler;2022;56700;136;260;10.8;130;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;1;33 min. à 100 kW;17h37;13h30;230;25.1 ;Oui;Traction;1;4.959;3.275;1.899;1.92;1556.0;1894.0;;Macpherson;Multibras;Thermique;;215/60 R 17;
Peugeot;E-Traveler Long;2022;57700;136;260;10.8;130;Avant;136;Aimant permanent (synchrone);260;;;;;;;;;WLTP;50;46;Type 2;CCS Combo;7.4;11;100;;1;33 min. à 100 kW;17h37;13h30;230;25.2 ;Oui;Traction;1;5.306;3.275;1.899;1.92;1950.0;1914.0;;Macpherson;Multibras;Thermique;;215/60 R 17;
Skoda;Enyaq 80x;2021;52030;265;425;6.9;160;Avant;109;A induction (asynchrone);160;Arrière;204;Aimant permanent (synchrone);310;;;;;WLTP;82;77;Type 2;CCS Combo;11;;135;;Liquide;38 min. à 135 kW / 40 min. à 120 kW;28h53;22h08;495;;En option;4X4;1;4.653;2.765;1.605;1.879;585.0;2120.0;;Macpherson;Multibras;Electrique;MEB;235/50 R 20;255/45 R 20
Tesla;Model 3 Long Range;2018;53990;441;493;4.4;233;Avant;165;A induction (asynchrone);163;Arrière;276;Aimant permanent + réluctance variable (synchrone);330;;;;;WLTP;77;74;Type 2;CCS Combo;11;;250;;Liquide;25 min. à 250 kW / 34 min. à 120 kW;27h07;20h47;560;;Oui;4X4;1;4.69;2.88;1.44;1.85;545.0;1919.0;50/495;Double triangle;Multibras;Electrique;;235/45 R 18;
Tesla;Model 3 Performance;2018;59990;513;660;3.2;233;Avant;215;A induction (asynchrone);240;Arrière;298;Aimant permanent + réluctance variable (synchrone);420;;;;;WLTP;77;74;Type 2;CCS Combo;11;;250;;Liquide;25 min. à 250 kW / 34 min. à 120 kW;27h07;20h47;530;;Oui;4X4;1;4.69;2.88;1.44;1.85;545.0;1922.0;50/495;Double triangle;Multibras;Electrique;;235/35 R 20;
Tesla;Model 3 Propulsion;2021;53490;276;330;6.1;225;Arrière;276;Aimant permanent + réluctance variable (synchrone);330;;;;;;;;;WLTP;62;57.5;Type 2;CCS Combo;11;;170;;Liquide;24 min. à 170 kW / 29 min. à 120 kW;21h50;16h44;491;;Oui;Propulsion;1;4.69;2.88;1.44;1.85;545.0;1845.0;50/495;Double triangle;Multibras;Electrique;;235/45 R 18;
Volkswagen;ID4 GTX;2020;54450;299;460;6.2;180;Avant;109;A induction (asynchrone);160;Arrière;204;Aimant permanent (synchrone);310;;;;;WLTP;82;77;Type 2;CCS Combo;11;;150;;Liquide;34 min. à 150 kW / 38 min. à 120 kW;28h53;22h08;478;18.4 ;En option;4X4;1;4.582;2.769;1.637;1.852;543.0;2224.0;;Macpherson;Multibras;Electrique;MEB;235/50 R 20;255/45 R 20
